date,weighted,close,high,low,open,volume
9/3/2020 21:09,326.79,326.79,337.51,321.48,324.36,212852921.8
9/4/2020 21:09,283.53,283.53,321.2,271.22,326.79,569006034.7
9/5/2020 21:09,298.43,298.43,302.68,274.82,283.53,419815669.7
9/6/2020 21:09,299.64,299.64,305.62,287.95,298.43,306971298.3
9/7/2020 21:09,287.15,287.15,294.73,284.74,299.64,241418510.3
9/8/2020 21:09,298.02,298.02,301.41,287.61,287.15,245371467.3
9/9/2020 21:09,312.01,312.01,316.22,300.87,298.02,302457336.1
9/10/2020 21:09,316.32,316.32,317.37,306.73,312.01,276983649
9/11/2020 21:09,327.92,327.92,328.01,312.65,316.32,228916929.7
9/12/2020 21:09,309.74,309.74,324.6,302.49,327.92,320462763
9/13/2020 21:09,318.35,318.35,323.03,312.85,309.74,353998352.3
9/14/2020 21:09,307.89,307.89,323.21,306.52,318.35,268498038.3
9/15/2020 21:09,309.51,309.51,314.43,307.93,307.89,241412207
9/16/2020 21:09,329.14,329.14,333.39,307.59,309.51,463811130.8
9/17/2020 21:09,325.01,325.01,331.11,321.03,329.14,330808581.9
9/18/2020 21:09,325.75,325.75,329.5,323.51,325.01,210482513.3
9/19/2020 21:09,313.67,313.67,321.98,312.01,325.75,224989474
9/20/2020 21:09,289.61,289.61,303.89,284.29,313.67,240423733.4
9/21/2020 21:09,294.24,294.24,297.57,291,289.61,217672178.2
9/22/2020 21:09,274.79,274.79,287.62,272.51,294.24,193987147.5
9/23/2020 21:09,298.83,298.83,302.32,285.6,274.79,224539932
9/24/2020 21:09,302.63,302.63,305.94,293.25,298.83,222456953.3
9/25/2020 21:09,304.39,304.39,305.5,299.68,302.63,157506434.8
9/26/2020 21:09,307.24,307.24,310.66,303.53,304.39,168405048.5
9/27/2020 21:09,303.3,303.3,308.52,300,307.24,190721216.5
9/28/2020 21:09,306.69,306.69,307.98,303.82,303.3,150804323.1
9/29/2020 21:09,306.96,306.96,308.34,303.19,306.69,159615245.6
9/30/2020 21:09,300.91,300.91,306.16,298.74,306.96,204347733
10/1/2020 21:10,295.59,295.59,300.92,291.07,300.91,224091853.7
10/2/2020 21:10,296.28,296.28,299.35,294.57,295.59,119511581.4
10/3/2020 21:10,301.02,301.02,301.84,297.38,296.28,101292928.2
10/4/2020 21:10,299.95,299.95,303.24,299.58,301.02,117786958.6
10/5/2020 21:10,290.54,290.54,297.68,289.19,299.95,159282994.9
10/6/2020 21:10,290.65,290.65,292.1,286.84,290.54,170242593.9
10/7/2020 21:10,298.28,298.28,300.79,294.29,290.65,173229477.4
10/8/2020 21:10,308.85,308.85,310.73,299.78,298.28,176695646.8
10/9/2020 21:10,312.61,312.61,316.9,311.95,308.85,147553457.9
10/10/2020 21:10,316.78,316.78,318.52,314.57,312.61,128472537.1
10/11/2020 21:10,327.2,327.2,329.74,317.64,316.78,228663047
10/12/2020 21:10,324.82,324.82,327.16,322.58,327.2,158846214.4
10/13/2020 21:10,323.06,323.06,327.44,321.5,324.82,154463897.2
10/14/2020 21:10,322.62,322.62,327.73,322.32,323.06,190902699.8
10/15/2020 21:10,312.41,312.41,318.6,311.92,322.62,182585786.8
10/16/2020 21:10,314.75,314.75,315.14,312.71,312.41,101609428.1
10/17/2020 21:10,323.04,323.04,324.02,318.22,314.75,116132536.8
10/18/2020 21:10,322.28,322.28,328.67,321.38,323.04,163879050.1
10/19/2020 21:10,311.8,311.8,326.42,311.09,322.28,267965620.6
10/20/2020 21:10,328.97,328.97,335.65,326.49,311.8,359058639.1
10/21/2020 21:10,350.48,350.48,353.12,334.55,328.97,336582858.2
10/22/2020 21:10,344.84,344.84,350.83,343.53,350.48,195998889.3
10/23/2020 21:10,347.19,347.19,352.49,345.42,344.84,158287323.6
10/24/2020 21:10,342.73,342.73,347.46,342.51,347.19,142340947.1
10/25/2020 21:10,333.23,333.23,346.96,330.91,342.73,228953970.8
10/26/2020 21:10,342.68,342.68,351.02,340.83,333.23,168304540.7
10/27/2020 21:10,331.28,331.28,337.16,326.52,342.68,117523376.9
10/28/2020 21:10,331.81,331.81,340.69,329.97,331.28,138383767
10/29/2020 21:10,328.55,328.55,337.4,327.04,331.81,240029008.2
10/30/2020 21:10,331.91,331.91,336.89,330.97,328.55,181861386.1
10/31/2020 21:10,340.75,340.75,341.57,331.17,331.91,289646567.3
11/1/2020 21:11,329.65,329.65,342.01,328.36,340.75,216538134.8
11/2/2020 21:11,329.99,329.99,338.45,329.99,329.65,112707738
11/3/2020 21:11,343.22,343.22,346.72,332.24,329.99,125094355.1
11/4/2020 21:11,352.58,352.58,377.78,350.87,343.22,179361746.7
11/5/2020 21:11,384.53,384.53,385.32,350.64,352.58,204089679.6
11/6/2020 21:11,365.44,365.44,372.4,359.96,384.53,140844873.2
11/7/2020 21:11,381.47,381.47,385.11,378.35,365.44,102305137.5
11/8/2020 21:11,375.63,375.63,381.2,375.11,381.47,141893864.9
11/9/2020 21:11,381.92,381.92,383.48,374.27,375.63,155916749.7
11/10/2020 21:11,393.64,393.64,402.17,392.18,381.92,314886680.5
11/11/2020 21:11,392.37,392.37,408.82,390.99,393.64,308794669.8
11/12/2020 21:11,403.05,403.05,403.88,389.39,392.37,302471995.8
11/13/2020 21:11,389.97,389.97,397.86,389.97,403.05,227497907.6
11/14/2020 21:11,379.07,379.07,389.19,375.96,389.97,177813959.4
11/15/2020 21:11,388.54,388.54,397.42,386.71,379.07,257328750.7
11/16/2020 21:11,406.54,406.54,417.41,400.43,388.54,418562655
11/17/2020 21:11,404.22,404.22,413.53,395.06,406.54,406909055.1
11/18/2020 21:11,397.99,397.99,406.71,395.58,404.22,353379807.1
11/19/2020 21:11,430.48,430.48,439.3,416,397.99,601067240.7
11/20/2020 21:11,465.2,465.2,465.52,426.79,430.48,651668123.1
11/21/2020 21:11,472.34,472.34,483.52,450.91,465.2,764193157.6
11/22/2020 21:11,514.46,514.46,514.46,471.75,472.34,991562578.7
11/23/2020 21:11,508.97,508.97,543.13,496.56,514.46,1018928941
11/24/2020 21:11,478.48,478.48,501.6,471.4,508.97,534698727.4
11/25/2020 21:11,436.6,436.6,442.51,419.02,478.48,777414448.2
11/26/2020 21:11,433.88,433.88,439.76,430.15,436.6,288556755.8
11/27/2020 21:11,450.47,450.47,456.85,445.57,433.88,364983019.8
11/28/2020 21:11,481.46,481.46,481.77,460.17,450.47,396861868.2
11/29/2020 21:11,513.91,513.91,529.68,503.56,481.46,724083171.3
11/30/2020 21:11,486.06,486.06,500.39,473.13,513.91,837732182.2
12/1/2020 21:12,494.07,494.07,505.82,491.37,486.06,413124842.8
12/2/2020 21:12,508.03,508.03,509.47,496.5,494.07,491620574.9
12/3/2020 21:12,469.03,469.03,489.54,468.88,508.03,503220289.9
12/4/2020 21:12,493,493,495.53,479.55,469.03,369873893.1
12/5/2020 21:12,496.75,496.75,503.46,494.03,493,327850478.2
12/6/2020 21:12,488.47,488.47,497.66,485.3,496.75,315490605.2
12/7/2020 21:12,458.74,458.74,472.83,453.74,488.47,433321884.7
12/8/2020 21:12,475.44,475.44,484.06,461.3,458.74,461060988
12/9/2020 21:12,460.42,460.42,471.55,458.62,475.44,278815184.3
12/10/2020 21:12,449.68,449.68,457.43,449.23,460.42,256706119.1
12/11/2020 21:12,469.82,469.82,474.17,464.85,449.68,181017227.2
12/12/2020 21:12,486.57,486.57,487.84,474.26,469.82,216923016.3
12/13/2020 21:12,482.57,482.57,489.23,479.39,486.57,144787544
12/14/2020 21:12,484.94,484.94,488.78,474.22,482.57,176159089
12/15/2020 21:12,522.77,522.77,531.18,517.34,484.94,390891898
12/16/2020 21:12,523.91,523.91,563.68,513.87,522.77,717952853.4
12/17/2020 21:12,533.52,533.52,541.44,527.29,523.91,358935443.5
12/18/2020 21:12,535.84,535.84,554.27,532.34,533.52,371591289.4
12/19/2020 21:12,522.09,522.09,535.73,515.95,535.84,304215589.8
12/20/2020 21:12,497.56,497.56,507.61,490.5,522.09,404735366.9
12/21/2020 21:12,522.27,522.27,527.93,512.11,497.56,373230282
12/22/2020 21:12,502.39,509.15,523.69,486.8,522.71,37028222.97
